time,solar,wind_offshore,wind_onshore
2024-01-03 01:30:00,0.0,3078.7,36308.0
2024-01-03 01:45:00,0.0,3080.3,36004.4
2024-01-03 02:00:00,0.0,3056.4,36264.7
2024-01-03 02:15:00,0.0,3052.9,36623.5
2024-01-03 02:30:00,0.0,3077.4,36924.1
2024-01-03 02:45:00,0.0,3130.1,37140.6
2024-01-03 03:00:00,0.0,3110.6,36880.5
2024-01-03 03:15:00,0.0,3076.3,36683.3
2024-01-03 03:30:00,0.0,2792.0,36962.1
2024-01-03 03:45:00,0.0,2615.7,36921.4
2024-01-03 04:00:00,0.0,2724.4,37124.2
2024-01-03 04:15:00,0.0,2799.2,37346.8
2024-01-03 04:30:00,2.7,2934.5,37921.6
2024-01-03 04:45:00,3.2,3121.2,38352.2
2024-01-03 05:00:00,2.5,3200.5,37501.3
2024-01-03 05:15:00,2.6,3229.0,37616.6
2024-01-03 05:30:00,2.7,3502.6,38371.2
2024-01-03 05:45:00,2.7,3831.2,38550.9
2024-01-03 06:00:00,3.4,5009.5,40439.7
2024-01-03 06:15:00,2.8,5181.0,41063.2
2024-01-03 06:30:00,2.7,5124.0,41478.9
2024-01-03 06:45:00,3.5,5110.1,41776.1
2024-01-03 07:00:00,2.7,5143.6,42076.3
2024-01-03 07:15:00,2.6,5185.3,42229.6
2024-01-03 07:30:00,2.8,5104.0,42475.3
2024-01-03 07:45:00,3.3,5085.9,42402.8
2024-01-03 08:00:00,11.0,5156.7,42099.0
2024-01-03 08:15:00,77.8,5145.4,41857.9
2024-01-03 08:30:00,368.1,5126.3,41594.5
2024-01-03 08:45:00,762.3,5188.0,41181.5
2024-01-03 09:00:00,1287.6,5264.7,40961.1
2024-01-03 09:15:00,1937.4,5281.1,40886.5
2024-01-03 09:30:00,2625.3,5288.2,40687.9
2024-01-03 09:45:00,3340.7,5272.1,40821.1
2024-01-03 10:00:00,4063.9,5250.3,41040.1
2024-01-03 10:15:00,4885.1,5252.0,41164.9
2024-01-03 10:30:00,5249.4,5238.8,40985.0
2024-01-03 10:45:00,5538.8,5285.8,40968.2
2024-01-03 11:00:00,5768.2,5330.5,41189.5
2024-01-03 11:15:00,5849.5,5320.5,41726.1
2024-01-03 11:30:00,5915.2,5303.7,41890.3
2024-01-03 11:45:00,5985.6,5294.0,41607.1
2024-01-03 12:00:00,6040.5,5249.8,41397.7
2024-01-03 12:15:00,6070.7,5205.1,41399.1
2024-01-03 12:30:00,6305.5,5075.6,41275.1
2024-01-03 12:45:00,6418.4,4864.7,41137.1
2024-01-03 13:00:00,6391.2,4699.3,40919.4
2024-01-03 13:15:00,6070.8,4570.2,40660.2
2024-01-03 13:30:00,5774.9,4501.7,40523.6
2024-01-03 13:45:00,5512.4,4450.2,40384.8
2024-01-03 14:00:00,4931.9,4389.4,40115.5
2024-01-03 14:15:00,4413.6,4364.3,39981.0
2024-01-03 14:30:00,3703.4,4302.6,39643.2
